animalID,stimPairNum,stimPairName,experiment,sessionOrder,blockIndex,blockStartTrial,blockEndTrial,meanAccuracy,nTrials,xValue
BLA04,3,EE01_FF02,training,14,4,61,80,91,120,1681
BLA04,3,EE01_FF02,training,14,5,81,100,100,120,1701
BLA04,3,EE01_FF02,training,14,6,101,120,90,120,1721
BLA04,4,EE01_FF02,day1,15,1,1,20,44.5793650793651,129,1771
BLA04,4,EE01_FF02,day1,15,2,21,40,49.5,129,1791
BLA04,4,EE01_FF02,day1,15,3,41,60,63,129,1811
BLA04,4,EE01_FF02,day1,15,4,61,80,82,129,1831
BLA04,4,EE01_FF02,day1,15,5,81,100,91,129,1851
BLA04,4,EE01_FF02,day1,15,6,101,120,87,129,1871
BLA04,5,FF01_GG02,day2,16,1,1,20,62.6488095238095,130,1930
BLA04,5,FF01_GG02,day2,16,2,21,40,66.5,130,1950
BLA04,5,FF01_GG02,day2,16,3,41,60,90,130,1970
BLA04,5,FF01_GG02,day2,16,4,61,80,87.5,130,1990
BLA04,5,FF01_GG02,day2,16,5,81,100,82.5,130,2010
BLA04,5,FF01_GG02,day2,16,6,101,120,87.5,130,2030
BLA04,6,almond_vanilla,olfactory,17,1,1,20,49.6924603174603,119,2090
BLA04,6,almond_vanilla,olfactory,17,2,21,40,61,119,2110
BLA04,6,almond_vanilla,olfactory,17,3,41,60,75.5,119,2130
BLA04,6,almond_vanilla,olfactory,17,4,61,80,88,119,2150
BLA04,6,almond_vanilla,olfactory,17,5,81,100,100,119,2170
