AnimalID,PreMean,BlockMean
BLA15,74.1666666666667,79.8319327731092
BLA16,82.5,76.4705882352941
BLA17,79.8319327731092,92.5
vHPC07,80,77.5
vHPC08,78.3333333333333,83.3333333333333
